Type,Title,Country,Date Created,No. of Users,Privacy,URL
Event,Unite for Freedom - We Do Not Consent 2020,UK,17/08/2020,186,Public,https://www.facebook.com/events/909919372832666?active_tab=about
Event,Unite for Freedom live feed,UK,29/08/2020,489,Public,https://www.facebook.com/events/1695916530575812/?active_tab=discussion
Event,Unite For Freedom - Exposing the Truth about Covid and Lockdown,UK,29/08/2020,3000,Public,https://www.facebook.com/events/2713299902272965/?active_tab=discussion
Group,?Fake Pandemic: The Truth Behind Coronavirus?,,08/04/2020,1020,Public,https://www.facebook.com/groups/536518333671109
Group,"Proved cure vs PLANdemic/BigTech censorship
",,28/08/2020,30,Public,https://www.facebook.com/groups/4001985203150197
Group,Covid19 = Lies,,07/05/2020,224,Public,https://www.facebook.com/groups/759981098074241
Group,Mask Off America,USA,31/08/2020,199,Public,https://www.facebook.com/groups/328367245261564
Group,Mask debating UK,UK,24/08/2020,233,Public,https://www.facebook.com/groups/592517678110226
Group,say NO to face masks,,24/07/2020,2153,Public,https://www.facebook.com/groups/827775690962815
Group,Anti-Lockdown Group,,30/03/2020,250,Public,https://www.facebook.com/groups/610792532837515
Group,THE CORONAVIRUS HOAX AND MASKER HATE GROUP,,08/08/2020,40,Public,https://www.facebook.com/groups/593369104702302
Group,THE CORONA HOAX,,06/04/2020,98,Public,https://www.facebook.com/groups/226294891789027
Group,CRONA-HOAX #standupfightback,,21/08/2020,45,Public,https://www.facebook.com/groups/330675641313945
Group,Anti Bill Gates!!,,12/05/2020,238,Public,https://www.facebook.com/groups/241728693726826
Group,Bill Gates and the Committee of 300 Exposed,,22/03/2017,2223,Public,https://www.facebook.com/groups/1378207672237647
Group,Bill Gates - is he the antichrist?,,25/07/2020,92,Public,https://www.facebook.com/groups/730398531094627
Group,COVID-19 Pandemic: Biggest Hoax In Human History,,23/07/2020,644,Private,https://www.facebook.com/groups/620799585237547
Group,UK against Mandatory Face Masks and Vaccinations,,11/07/2020,1433,Private,https://www.facebook.com/groups/2708461759433964
Group,Power To The People UK,UK,07/09/2020,14058,Private,https://www.facebook.com/groups/803034433856703
Group,Mad about Masks - UK,UK,27/07/2020,4798,Private,https://www.facebook.com/groups/MMASK
Group,no mask uk 2,UK,16/08/2020,933,Private,https://www.facebook.com/groups/2563002537343150
Group,Corona virus plandemic hoax,,30/05/2020,371,Private,https://www.facebook.com/groups/2087123361432418
Group,COVID-19 Pandemic: Biggest Hoax In Human History,,23/07/2020,644,Private,https://www.facebook.com/groups/620799585237547
