Accounts,No. of Followers,URL
"@endthecvtyranny

",100,https://www.instagram.com/endthecvtyranny/
"@iammickwilliams

",223,https://www.instagram.com/iammickwilliams/
@strength_in_knowledge_,201,https://www.instagram.com/strength_in_knowledge_/
"@therealnewsof2020

",5994,https://www.instagram.com/therealnewsof2020/
@keepbritainfree,2542,https://www.instagram.com/keepbritainfree/
"@simondolanreal

",3656,https://www.instagram.com/simondolanreal/
@whatthehellisreallygoingon,447,https://www.instagram.com/whatthehellisreallygoingon/
"@standupx_

",14.9k,https://www.instagram.com/standupx_/
@whatthehellisreallygoingon,447,https://www.instagram.com/whatthehellisreallygoingon/
"@plot_against_us

",1306,https://www.instagram.com/plot_against_us/
@vaccinetruth,92.5k,https://www.instagram.com/vaccinetruth/
"@i.do.not.consent

",634,https://www.instagram.com/i.do.not.consent/
@no_new_normal,3096,https://www.instagram.com/no_new_normal/
@truth.seeker911,866,https://www.instagram.com/truth.seeker911/
"@jason_christoff

",9542,https://www.instagram.com/jason_christoff/
