Account,Date joined,No. of Followers
@StopComplying,September 2018,14.3k
@BritainFree,June 2020,15.6k
@CoronaDoubter,April 2020,9010
@LockdownNo,March 2020,9854
@EndUKLockdown,August 2009,3701
@lockdownsceptic,July 2020,2701
@MinistryDissent,April 2019,1789
@kbeanie93,July 2020,1927
@ruby_truth,June 2020,1819
@VaccinesEnd,July 2020,719
@QuestionsCrit,September 2020,487
@truthnottyranny,June 2020,587
@HeroUnmasked,August 2020,412
@HawkeSarcastic,March 2019,462
@MrsSMHI,June 2020,3186
@plutoslovechild,April 2020,1312
@WeWillBeFree82,April 2020,4337
@COVID19847,May 2020,205
@vaxreactions,November 2019,892
@JulieBalfour9,February 2020,2066
@thecuriousvaper,March 2020,3172
@seekthetruth27,March 2020,1734
,,
Hashtags:,,
#kbf ,,
#keepbritainfree,,
#facenappies ,,
#muzzles ,,
#nomasks ,,
#covidiots ,,
#showyoursmile,,
#CovidHoax,,
#covidscam,,
#stopsocialdistancing,,
"#endthelockdown
",,
#endlockdown ,,
#Covid1984,,
#uniteforfreedom,,
#NoNewNormal ,,
#antilockdown,,
#endthelockdownuk,,
#ReclaimOurRightsUK,,
#antilockdown,,
#WeWillBeFree,,
#scamdemic  ,,
#Casedemic,,
#PlandemicHoax,,
#PlandemicHoax,,
#GreatReset,,
,,
