Channel Name,Number of subscribers,Number of Views,URL
Plandemic Documentary Series,146,"1,805",https://www.youtube.com/channel/UCimzpN_2kyZRVZyz0l3BnGg
Leonard Ulrich,22.1k,"2,335,925",https://www.youtube.com/user/LeonardUlrich
Keep Britain Free,3.85k,"89,749",https://www.youtube.com/channel/UCEtzX2A5iWYq3ISAEZMKI2g
Penny Bunny,2.28k,"82,126",https://www.youtube.com/c/PennyBunnyRed_pilled_rabbit
The Truth Will Set Humanity Free,1.06K,"23,399",https://www.youtube.com/c/TheTruthWillSetHumanityFree
Street Truth,960,"69,034",https://www.youtube.com/channel/UCH1I2h5Djp8f4o-ieCqKYMQ
KEEP BRITAIN FREE,91,"6,941",https://www.youtube.com/channel/UCG-8soRlYFZpj5jHwH40AMQ
Politico,23.8K,"4,418,148",https://www.youtube.com/channel/UCxsGlhpBeagVHVz-7swTyNQ
Anonymous Geordie,729,"149,741",https://www.youtube.com/channel/UCZp1ZbZYDsPLabeB3CsCuhQ
End The Lockdown,226,"22,193",https://www.youtube.com/channel/UCxOXsdD__Fdg0Yok0xjfd4A
